window_id,hallucinated,lz_complexity,entropy_rate_estimate,cr,lang_id_entropy,bigram_loglik_ratio,always_separated_cpwer,track_text_length,bigram_llr_per_char
30,True,0.6883116883116883,4.630906286907137,1.491638795986622,0.32285231958525373,20.84137001260251,2.0,154,0.13533357151040593
31,True,0.8571428571428571,5.180909245164389,1.050561797752809,1.1882762244683929,31.90688522337331,2.5,77,0.4143751327710819
32,True,0.7419354838709677,4.532131048577352,1.297979797979798,0.6601574005432118,3.107514317810228,1.333333,93,0.033414132449572344
33,True,0.7830188679245284,4.991776158507498,1.1592920353982301,1.0117606570631663,36.56993142783426,2.666667,106,0.3449993530927761
34,False,0.7313432835820896,4.106280333755898,1.4154929577464788,0.0,3.3243694997281636,1.0,67,0.04961745521982334
35,True,0.9795918367346939,5.470983674175827,0.9185185185185185,1.2654710259533886,6.916142869767953,2.0,49,0.1411457728524072
36,False,0.7526881720430108,4.613438829958577,1.3349282296650717,0.0,1.460011629634323,1.0,93,0.015699049781014225
37,False,0.7117117117117117,4.486474586540461,1.3842794759825328,0.3736090708557683,7.030606462928063,1.0,111,0.06333879696331587
38,False,0.8311688311688312,4.987012987012987,1.2287234042553192,0.0,0.41677656295632914,1.0,77,0.0054126826357964826
39,False,0.8245614035087719,4.58009957945349,1.14,0.0,-3.3708314443527456,1.0,57,-0.05913739376057448
40,False,0.8032786885245902,4.510176760026971,1.1806451612903226,0.0,2.3289453728617104,1.0,61,0.03817943234199525
41,True,0.9027777777777778,5.4368598312062435,0.9661016949152542,1.2617869561823971,18.956821583039186,1.5,72,0.263289188653322
42,True,0.8148148148148148,4.448425763334094,0.970873786407767,1.554222455704533,35.34079926848477,3.0,54,0.654459245712681
43,True,0.6966292134831461,4.844496306112205,1.583596214511041,0.6959461405437979,6.8229384684489105,1.666667,178,0.03833111499128601
44,False,0.8571428571428571,5.063049081950159,1.1235955056179776,0.37123232664087563,6.930675889266865,1.0,70,0.09900965556095521
45,True,0.7603305785123967,4.9600636360102905,1.0085836909871244,1.3074678648429634,56.494188182643825,3.25,121,0.4668941172119324
46,False,0.8333333333333334,4.81779976127055,1.2375,0.0,-8.960254466346953,1.0,66,-0.13576143130828716
47,True,0.7966101694915254,5.221452136082186,1.1622641509433962,1.0428445510884803,17.716949306844526,2.0,118,0.1501436381935977
48,True,0.8181818181818182,5.621207497840968,1.1867088607594938,1.1142557863870073,34.46617245211303,2.0,143,0.2410221849798114
49,True,0.7322834645669292,4.7885178695515505,1.3542435424354244,0.38374869092159714,10.875828083143233,2.0,127,0.08563644159955301
50,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
51,True,0.7718120805369127,5.283431918514115,1.2189542483660132,1.2600110997516745,55.11780182206974,2.0,149,0.3699181330340251
52,False,0.7314814814814815,4.611098880611029,1.367965367965368,0.3038731104979917,6.108144591393966,1.0,108,0.05655689436475894
53,True,0.8089887640449438,4.991400001166814,1.0776699029126213,1.0806263455475476,22.75906556225857,3.0,89,0.2557198377781862
54,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
55,True,0.8461538461538461,5.302665534434147,1.16,0.3934224418894494,-4.176127485002439,1.333333,91,-0.045891510824202626
56,False,0.82,4.393192643786829,1.094890510948905,0.0,7.353852594275338,1.0,50,0.14707705188550677
57,True,0.8289473684210527,4.954850462901247,0.9874213836477987,1.1446267187329797,37.32389255862694,2.0,76,0.4911038494556176
58,False,0.8024691358024691,4.83276429440555,1.265625,0.0,-7.5959946731802575,1.0,81,-0.09377771201457108
59,False,0.75,4.482959942624937,1.308108108108108,0.3255517134879514,-0.013280641180017483,1.0,84,-0.00015810287119068432
60,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
61,False,0.7956989247311828,4.94085536619938,1.2857142857142858,0.0,8.715438585557763,1.0,93,0.09371439339309423
62,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
63,True,0.8208955223880597,4.745892302147109,0.9225352112676056,1.426067565701062,32.806480531272484,3.0,67,0.4896489631533207
64,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
65,True,0.6948051948051948,4.684006282759239,1.4133858267716535,1.286487034020469,50.85390157496386,2.666667,154,0.3302201400971679
66,False,1.0,2.807354922057604,0.65625,0.0,-0.010715803460584539,1.0,7,-0.0015308290657977913
67,False,1.0,1.0,0.42857142857142855,0.0,-0.011579329506879787,1.0,2,-0.005789664753439894
68,True,0.7708333333333334,5.237362230311541,1.1979865771812082,1.3886657528352824,44.86036255655904,3.0,144,0.31153029553166
69,True,0.7674418604651163,5.08764577820063,1.3201438848920863,0.4985544004771417,11.647398637273113,1.5,129,0.09028991191684584
70,True,0.8586956521739131,5.413029120717295,1.0226244343891402,1.092894291268084,19.650360704188984,1.666667,92,0.21359087721944547
71,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
72,True,0.7758620689655172,5.036782574738541,1.146341463414634,1.1546257751037519,28.452338441467873,1.75,116,0.2452787796678265
73,True,0.8319327731092437,5.5151790368729525,1.0158730158730158,1.3601402458017295,43.32820775894777,4.333333,119,0.36410258620964514
74,True,0.8823529411764706,5.728105673232067,1.0714285714285714,1.0044723109148055,13.021616953005605,1.5,102,0.12766291130397653
75,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
76,True,0.8918918918918919,5.3909461064548365,1.021505376344086,0.940958581125796,13.830313105364382,3.0,74,0.18689612304546463
