window_id,actual_separated_cpwer,predicted_separated_cpwer,actual_mixed_cpwer,predicted_mixed_cpwer,cpwer_contribution,regression_router_decision,regression_router_cpwer,oracle_decision,oracle_cpwer,is_mode_s,cr,lang_id_entropy,length_ratio,content_similarity,num_speakers,runtime_ratio,separated_total_length,mixed_text_length,cr_mixed,lang_id_entropy_mixed
52,1.0,1.182222,1.0,1.005,0.0,mixed,1.0,mixed,1.0,0,1.367965,0.303873,1.136842,0.762376,3.0,4.657,108.0,95.0,1.397059,0.0
53,3.0,1.962551,1.0,1.0,2.0,mixed,1.0,mixed,1.0,0,1.07767,1.080626,89.0,0.0,2.0,10.978,89.0,0.0,0.0,0.0
54,1.0,1.174167,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,2.0,10.448,0.0,0.0,0.0,0.0
55,1.333333,1.602403,1.0,1.0,0.333333,mixed,1.0,mixed,1.0,0,1.16,0.393422,91.0,0.0,3.0,13.1,91.0,0.0,0.0,0.0
56,1.0,1.0,1.0,2.671528,0.0,separated,1.0,mixed,1.0,0,1.094891,0.0,0.434783,0.130435,2.0,0.241,50.0,115.0,1.209738,0.497099
57,2.0,2.280917,1.0,1.0,1.0,mixed,1.0,mixed,1.0,0,0.987421,1.144627,76.0,0.0,2.0,17.901,76.0,0.0,0.0,0.0
58,1.0,1.0,2.0,1.139583,-1.0,separated,1.0,separated,1.0,0,1.265625,0.0,0.952941,0.525773,1.0,0.455,81.0,85.0,1.297436,0.092277
59,1.0,1.120222,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,1.308108,0.325552,84.0,0.0,2.0,5.207,84.0,0.0,0.0,0.0
60,1.0,1.0,1.0,1.0,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,2.0,1.214,0.0,0.0,0.0,0.0
61,1.0,1.01,1.0,1.02,0.0,separated,1.0,mixed,1.0,0,1.285714,0.0,0.958763,0.876404,2.0,1.163,93.0,97.0,1.379147,0.0
62,1.0,1.01,1.0,1.30125,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,2.0,2.156,0.0,104.0,1.233333,0.433056
63,3.0,3.025972,1.0,1.0,2.0,mixed,1.0,mixed,1.0,0,0.922535,1.426068,67.0,0.0,2.0,3.737,67.0,0.0,0.0,0.0
64,1.0,1.0,1.0,1.0025,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,2.0,1.606,0.0,0.0,0.0,0.0
65,2.666667,2.58606,1.0,1.0,1.666667,mixed,1.0,mixed,1.0,0,1.413386,1.286487,154.0,0.0,3.0,23.93,154.0,0.0,0.0,0.0
66,1.0,1.0,1.0,1.0,0.0,separated,1.0,mixed,1.0,0,0.65625,0.0,7.0,0.0,3.0,4.663,7.0,0.0,0.0,0.0
67,1.0,1.003333,1.0,1.0,0.0,mixed,1.0,mixed,1.0,0,0.428571,0.0,2.0,0.0,2.0,5.538,2.0,0.0,0.0,0.0
68,3.0,3.301736,1.0,1.000833,2.0,mixed,1.0,mixed,1.0,0,1.197987,1.388666,1.73494,0.020833,4.0,7.848,144.0,83.0,1.253807,0.094084
69,1.5,2.017897,1.0,1.071667,0.5,mixed,1.0,mixed,1.0,0,1.320144,0.498554,1.112069,0.381944,2.0,6.697,129.0,116.0,1.472103,0.244372
70,1.666667,2.304722,1.0,2.002778,0.666667,mixed,1.0,mixed,1.0,0,1.022624,1.092894,2.358974,0.016393,3.0,1.538,92.0,39.0,0.892157,1.363189
71,1.0,1.0,1.0,1.0,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,2.0,1.456,0.0,0.0,0.0,0.0
72,1.75,2.207685,1.0,1.0,0.75,mixed,1.0,mixed,1.0,0,1.146341,1.154626,116.0,0.0,4.0,17.772,116.0,0.0,0.0,0.0
73,4.333333,2.570833,1.0,1.0,3.333333,mixed,1.0,mixed,1.0,0,1.015873,1.36014,119.0,0.0,3.0,5.84,119.0,0.0,0.0,0.0
74,1.5,2.292549,1.0,1.0,0.5,mixed,1.0,mixed,1.0,0,1.071429,1.004472,102.0,0.0,4.0,20.317,102.0,0.0,0.0,0.0
75,1.0,1.17,1.0,4.260833,0.0,separated,1.0,mixed,1.0,0,0.0,0.0,0.0,0.0,2.0,0.174,0.0,172.0,1.39779,0.261983
76,3.0,2.041806,1.0,1.0,2.0,mixed,1.0,mixed,1.0,0,1.021505,0.940959,74.0,0.0,1.0,6.106,74.0,0.0,0.0,0.0
