pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_speaker_gate,max_compression_ratio,repetition_count,mean_logprob,max_no_speech_prob
2,0.1,pink,10.0,0.722222,0.555556,0.6857,0,-1.001,0.0707
2,0.1,pink,5.0,0.777778,0.944444,0.6857,0,-1.5712,0.4311
2,0.1,pink,0.0,1.055556,0.944444,0.7105,0,-1.6877,0.5819
2,0.1,babble,10.0,0.666667,0.666667,0.8182,0,-1.1185,0.2013
2,0.1,babble,5.0,0.833333,1.166667,1.0,0,-1.7133,0.5919
2,0.1,babble,0.0,1.0,0.944444,0.8824,0,-0.8692,0.546
2,0.3,white,10.0,0.833333,0.888889,0.7105,0,-1.7272,0.1046
2,0.3,white,5.0,0.944444,0.777778,0.7105,0,-1.451,0.4433
2,0.3,white,0.0,1.0,0.888889,0.625,0,-1.7764,0.579
2,0.3,pink,10.0,0.722222,0.666667,0.6857,0,-1.1968,0.1171
2,0.3,pink,5.0,0.833333,0.888889,0.6857,0,-1.5832,0.4741
2,0.3,pink,0.0,0.944444,0.888889,0.8,0,-1.353,0.5908
2,0.3,babble,10.0,0.777778,0.666667,0.6857,0,-1.0227,0.1103
2,0.3,babble,5.0,0.722222,0.611111,0.78,0,-0.618,0.2378
2,0.3,babble,0.0,0.944444,0.722222,0.7925,0,-0.7815,0.1877
2,0.6,white,10.0,0.722222,0.555556,0.7105,0,-1.3118,0.1407
2,0.6,white,5.0,0.888889,0.722222,0.7105,0,-1.6493,0.5055
2,0.6,white,0.0,1.0,0.888889,0.75,0,-0.8069,0.4192
2,0.6,pink,10.0,0.777778,0.555556,0.6857,0,-1.1158,0.1118
2,0.6,pink,5.0,0.722222,0.666667,0.6857,0,-1.3885,0.1475
2,0.6,pink,0.0,0.944444,0.888889,0.6857,0,-0.8556,0.2365
2,0.6,babble,10.0,0.666667,0.722222,0.7742,0,-1.5449,0.2178
2,0.6,babble,5.0,0.888889,0.888889,0.6562,0,-0.9073,0.3581
2,0.6,babble,0.0,1.0,1.666667,1.6667,2,-1.4776,0.5699
2,0.8,white,10.0,0.944444,0.777778,0.7105,0,-1.3608,0.2192
2,0.8,white,5.0,0.833333,0.777778,0.6857,0,-1.5142,0.5617
2,0.8,white,0.0,1.0,0.833333,0.6857,0,-0.7136,0.3663
2,0.8,pink,10.0,0.722222,0.5,0.6857,0,-1.1795,0.1118
2,0.8,pink,5.0,0.833333,0.944444,0.7714,0,-1.6099,0.3899
2,0.8,pink,0.0,0.944444,0.944444,0.6857,0,-1.6006,0.5825
2,0.8,babble,10.0,0.888889,0.611111,0.6857,0,-1.127,0.0596
2,0.8,babble,5.0,0.944444,0.722222,0.7556,0,-1.2423,0.4561
2,0.8,babble,0.0,1.0,0.888889,0.9333,0,-1.508,0.551
3,0.0,white,10.0,0.777778,0.5,0.7317,0,-1.0915,0.3277
3,0.0,white,5.0,0.722222,0.777778,0.7857,0,-1.3203,0.2441
3,0.0,white,0.0,1.0,0.777778,0.7317,0,-1.6278,0.5363
3,0.0,pink,10.0,0.555556,0.611111,0.7317,0,-0.9339,0.3248
3,0.0,pink,5.0,0.666667,0.666667,0.7105,0,-1.2092,0.3399
3,0.0,pink,0.0,0.888889,12.666667,20.3636,264,-1.0643,0.4328
3,0.0,babble,10.0,0.777778,0.611111,0.7317,0,-1.2811,0.5502
3,0.0,babble,5.0,1.0,1.277778,2.0,4,-1.037,0.6923
3,0.0,babble,0.0,1.0,1.0,0.6667,0,-0.9031,0.4829
3,0.1,white,10.0,0.777778,0.555556,0.7317,0,-1.124,0.2987
